A2_EDAD_1,A3_SEXO_1,ZONA,COD_REGION,POND_USO,grupo_etario,zona_desc,sexo_desc
39.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
55.0,1.0,1.0,13.0,5.74333,45-59,Urbana,Hombre
51.0,2.0,1.0,13.0,4.12944,45-59,Urbana,Mujer
38.0,1.0,1.0,13.0,6.4097,30-44,Urbana,Hombre
61.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
50.0,1.0,1.0,13.0,6.4097,45-59,Urbana,Hombre
79.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
26.0,2.0,1.0,13.0,4.46594,18-29,Urbana,Mujer
64.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
69.0,1.0,1.0,13.0,4.12944,60+,Urbana,Hombre
67.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
75.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
71.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
49.0,2.0,1.0,13.0,4.12944,45-59,Urbana,Mujer
72.0,2.0,1.0,13.0,4.12944,60+,Urbana,Mujer
60.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
33.0,2.0,1.0,13.0,4.46594,30-44,Urbana,Mujer
22.0,2.0,1.0,13.0,5.74333,18-29,Urbana,Mujer
67.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
38.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
43.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
37.0,1.0,1.0,13.0,6.4097,30-44,Urbana,Hombre
42.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
4.0,1.0,1.0,13.0,8.91477,0-17,Urbana,Hombre
35.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
25.0,1.0,1.0,13.0,6.93201,18-29,Urbana,Hombre
29.0,2.0,1.0,13.0,4.46594,18-29,Urbana,Mujer
55.0,2.0,1.0,13.0,3.04984,45-59,Urbana,Mujer
26.0,2.0,1.0,13.0,6.93201,18-29,Urbana,Mujer
31.0,1.0,1.0,13.0,4.73395,30-44,Urbana,Hombre
82.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
81.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
77.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
70.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
49.0,1.0,1.0,13.0,6.4097,45-59,Urbana,Hombre
